iso2c,year,ILFR_BP6_USD,ILD_BP6_USD,ILP_BP6_USD,ILOFR_BP6_USD
AR,2003,146066.851308457,48262,30455.7092003487,67349.1421081078
AR,2004,152035.901135607,52507.30940653,36121.658631693,63406.9330973837
AR,2005,145021.521462289,55138.7737976541,33793.956016436,54256.6675826809
AR,2006,171534.329133718,59882.2138642833,60727.2351739571,45602.2600485446
AR,2007,185896.680330545,66225.687649805,64812.0559705358,50217.5003650581
AR,2008,158077.559985426,75235.0828839151,24977.7821410818,56687.0780527752
AR,2009,181753.988477193,78205.1500544424,44738.3137464626,56527.6151936841
AR,2010,200892.766355951,85590.5803837417,51261.9421565442,57371.1746511405
AR,2011,207266.097047035,92294.9971385118,41080.5446628144,69085.016626419
AR,2012,206611.385841354,98705.6189769957,39536.7630342125,65681.8203458274
AR,2013,200950.380235933,88337.6597442163,45984.0235639639,63040.1653721488
AR,2014,213653.47331426,89715.9336691272,58248.3840397261,62918.1733706968
AR,2015,215739.769684171,79773.0058810413,59460.7727881392,72914.2803899344
AR,2016,244152.813386706,74868.3456643209,100183.52888288,66119.4457031415
AR,2017,320264.484498243,80699.6051695779,156535.161420051,79578.4079086139
AR,2018,312496.832506309,72572.9489409408,113159.955884283,125465.253802066
AR,2019,284466.984923381,70458.4071877901,71821.2161350606,141633.215721399
BR,2003,404242.040125774,132818.120547525,165439.632723439,105859.54285481
BR,2004,443508.208222885,161258.874270976,184162.799027272,97766.8089246373
BR,2005,481765.00545889,181344.348687708,231891.147922881,68310.413048301
BR,2006,603953.512450692,220620.858063297,304241.796035784,78646.2501939872
BR,2007,890400.097406017,309667.992671851,482796.452006337,96164.3575480181
BR,2008,665309.970417465,287696.891189861,264694.043760467,110468.943740136
BR,2009,1034934.66619271,400807.737951259,522703.973806615,108010.303722105
BR,2010,1485388.14595129,682345.93685926,646495.103445597,152766.05809692
BR,2011,1470928.96531013,695504.729281694,584765.466506317,185980.781383188
BR,2012,1533867.94467968,731175.091585349,603941.483917094,195723.480750037
BR,2013,1483653.53201377,724780.774578862,554298.30495872,198278.812520583
BR,2014,1528633.87381657,725871.613577817,526379.775196434,238398.468487465
BR,2015,1183041.73795551,568226.28357612,365605.512826653,236990.75939206
BR,2016,1396299.88080133,703328.33922522,463560.737748832,229160.748309368
BR,2017,1523085.3829876,767757.07366353,536179.535969478,218898.717836683
BR,2018,1470876.96155267,737894.34046815,495869.065681852,236863.499884761
BR,2019,1624401.1192374,819518.864297233,570104.672714277,234527.526707976
CL,2003,98845.6159118615,55031.0780573562,14632.1856042849,28960.0143929904
CL,2004,110504.921973977,65646.8251714632,16192.4936389257,27969.3851453312
CL,2005,127875.187985097,78991.1380681483,17984.7193117187,29529.4553792945
CL,2006,141799.208399503,85092.4889179187,19821.6149516057,32784.6211054902
CL,2007,173790.739412617,109086.384040415,19962.2670460237,39043.8521774141
CL,2008,176330.893694671,106100.369997804,20014.6158631053,45816.3523743084
CL,2009,216857.266242845,132709.587815523,27593.9141534777,51121.6564186789
CL,2010,267500.365061966,165700.322006583,42670.4267752534,52825.2378611656
CL,2011,292059.258567534,180567.696928723,48302.5073024561,57988.4249908651
CL,2012,342603.849219118,213616.595694421,62013.9371273048,61782.7449451519
CL,2013,354964.098851152,223097.130925149,67937.1528335314,58940.6080274618
CL,2014,371955.730850612,233101.480246367,76997.6141910649,55812.7424237881
CL,2015,371232.151384394,239455.484052965,73522.1794485332,51635.0950024782
CL,2016,391071.360830625,254937.650894568,79312.0008274311,52461.3938801712
CL,2017,438583.111593724,278017.469735321,102477.777292138,53992.3716851245
CL,2018,433036.472465841,273300.531926194,95841.2583950454,57632.6859404906
CL,2019,446000.389874931,273017.158521045,105808.599235464,58193.3693151415
CO,2003,59266.2229515555,20540.304716642,12951.6298355868,25762.1856593267
CO,2004,65702.5130071975,24883.2885453638,14750.2153144418,26069.009147392
CO,2005,77156.919195635,36986.5593458094,14719.3675461723,25450.9923036533
CO,2006,87468.8694719186,45405.6832436711,16068.5210023628,25994.6652258847
CO,2007,104896.647454471,56463.4953569129,18585.3588185411,29847.7932790171
CO,2008,116217.59485991,67266.211270913,16715.998947979,32161.3384312055
CO,2009,131298.398096956,75986.0621543275,21773.8217961025,33538.5141465261
CO,2010,152465.014367604,82990.630891502,25488.8818232866,43985.5016528158
CO,2011,178805.863992568,97378.7516406739,33757.2954859026,47659.723298382
CO,2012,200747.267418867,112949.361538774,42303.2765539167,45484.101057571
CO,2013,231359.11429799,128212.875504915,52448.4144601045,50687.8822447991
CO,2014,258296.31190542,141810.499722147,63160.1626374113,53313.9100814595
CO,2015,268882.471340412,149174.471792468,62316.2783749087,57389.8839229207
CO,2016,297274.228244538,164521.495294935,74959.7070756122,57719.3639416708
CO,2017,320576.533651551,179564.338520169,84534.2555815521,56473.0852778524
CO,2018,334620.797074059,189293.588649379,80322.4978223282,65001.701085874
CO,2019,354845.304667948,205710.558648108,82126.8087926177,67006.0376673062
CZ,2003,80485.2381694862,45286.6453574491,8716.78490683714,25723.7078038512
CZ,2004,108935.524256651,59765.4370668455,17036.396154706,30711.513525598
CZ,2005,114722.466243696,64991.8252806247,17805.6775662925,30628.8433382138
CZ,2006,149244.922398927,86628.7123970109,23375.838283196,37492.7668135658
CZ,2007,207313.917468747,123441.365195265,30774.5325810377,50098.6281668326
CZ,2008,214984.647989248,125452.806781764,26263.5686963713,54656.5698335573
CZ,2009,237900.921381327,141660.06097561,35574.6951219512,54129.9065729642
CZ,2010,248511.760116816,148114.127246547,41641.6724441363,52952.1099648243
CZ,2011,240625.398694437,140782.497492477,40112.6379137412,52710.2031076765
CZ,2012,265202.622587642,159136.184728418,45515.9275780635,54989.8700292585
CZ,2013,273047.140755384,159458.630742938,49217.1508997688,60087.1528193227
CZ,2014,251051.879683824,145999.562056582,43802.0933695367,57047.8506043812
CZ,2015,245089.325966595,140299.991943281,49726.7160812117,51791.3884867371
CZ,2016,257770.171981107,145857.326728812,52654.7837279145,56251.7040221378
CZ,2017,360811.312930386,185613.075947584,71191.4423934996,100872.747339291
CZ,2018,358891.159481286,190001.646933143,64954.9096412356,97432.9559737636
CZ,2019,363715.325928576,198392.865036913,69303.5674815437,90283.6031930648
EG,2004,56763.0909565282,23506.3,2530.1,30726.6909565282
EG,2005,62997.1715033016,28881.9,6058.2,28057.0715033016
EG,2006,72573.7843211236,38924.7,6062.7,27586.3843211236
EG,2007,84943.793651195,50502.8,4032,30408.993651195
EG,2008,94588.2596021176,59997.4,4432.9,30157.9596021176
EG,2009,102438.595266358,66709,4108.2,31621.3952663585
EG,2010,123261.147863356,73094.6,18241.1,31925.4478633558
EG,2011,110390.063216259,72611.9,6526,31252.1632162591
EG,2012,120226.149315763,79492.6,4574,36159.5493157633
EG,2013,132292.915901107,85045,7611.3,39636.6159011074
EG,2014,131147.382307483,87881.9,5526.3,37739.1823074828
EG,2015,143938.712920552,94266.4,5390.6,44281.7129205519
EG,2016,175318.718837045,102324,5711.1,67283.6188370455
EG,2017,219487.558708794,109677.1,29686.1,80124.3587087944
EG,2018,235988.856001613,117728.3,27651.8,90608.7560016133
EG,2019,269988.759841362,126639.1,39654,103695.659841362
HU,2003,109878.662947287,53051.9800884956,29501.2778953444,24747.8486918045
HU,2004,156623.318411049,67160.8491874203,48163.0711631261,37973.0111283377
HU,2005,160936.443257224,66849.4606236539,51358.3284951774,40608.3348201049
HU,2006,308419.690050762,182916.833811711,70266.4238336343,52572.1243999896
HU,2007,418320.618240038,262837.157435838,77760.1820114709,74038.1956573373
HU,2008,473422.094167456,315529.310846845,58547.7230032585,92989.1601814152
HU,2009,494366.648388841,318863.246616947,62038.7110860201,109173.742732246
HU,2010,447135.85518902,279755.399444572,56806.2381347592,104735.757473303
HU,2011,430172.529202512,278127.19563521,52194.0210334506,93874.3225454729
HU,2012,443141.331522137,296253.449196975,63135.6335038284,78772.5943725586
HU,2013,437838.98027248,297112.720534371,68638.8309519627,66634.9063839534
HU,2014,394010.450502414,274074.716162666,60662.976076829,55065.9818115133
HU,2015,371365.819392634,268235.192684448,53883.8836001584,46933.8264558104
HU,2016,415755.097167056,316941.358547454,52105.2813186663,44803.3136867318
HU,2017,426747.549262505,316357.808250902,58192.6134000433,50297.7646150345
HU,2018,353501.094721968,248679.2848482,53303.6672731587,49487.5049526273
HU,2019,380347.717592031,273475.669776018,55123.8158654272,49496.70016573
ID,2003,163468.081157836,11096.2,23297.253667427,129042.55578338
ID,2004,174580.337257411,16794.68,25732.3288443541,132013.434225759
ID,2005,189486.39226869,44862.507412584,34591.6988876227,109988.95066838199
ID,2006,219880.128700618,62766.785914,56161.5249775588,100929.35289771
ID,2007,274067.797417655,86910.2930334113,71421.2277419393,115713.811730955
ID,2008,236157.789317272,79937.5475953017,45347.9044346527,110650.907698276
ID,2009,329973.269318344,121625,95640.956,112629.313318344
ID,2010,441042.795016704,173356.25924965,146148.465860768,121481.367826247
ID,2011,485124.89438534,198597.857756148,152782.264324294,133657.676624314
ID,2012,548480.203990104,227218.71668611,178393.409222659,142773.300252896
ID,2013,561722.618918899,251186.765046427,161974.612381726,148425.190829932
ID,2014,585881.065574461,229602.848747278,204793.077253792,151363.113256032
ID,2015,589267.536083051,234048.917506527,201249.641328045,153878.263924045
ID,2016,634323.140130381,261003.157888885,227037.053491947,146148.928489682
ID,2017,661717.761153426,242215.559531598,270390.59130705,149044.434622688
ID,2018,663747.168485374,234147.062440891,266986.888469328,162491.077963298
ID,2019,712162.535629603,242777.994445546,298838.809387346,170338.527012626
IL,2003,117514.147791774,22652.6,43641.8,51219.747791774
IL,2004,130763.677850389,24876.3,52905,52982.3778503895
IL,2005,146515.416693823,30811,64008.8,51695.6166938227
IL,2006,165363.108183946,43372,65578.9,56412.2081839462
IL,2007,193655.075194529,49089,83134,61432.0751945286
IL,2008,175077.023072314,48248,67550.2,59278.8230723141
IL,2009,212428.875142856,56253,92286.4,63889.4751428558
IL,2010,232261.444424766,60086,105114.2,67061.2444247662
IL,2011,220483.931630161,64842,87739,67902.9316301606
IL,2012,222418.892808137,75805,84167.9,62445.9928081371
IL,2013,248494.012998517,86531,99799.5,62163.512998517
IL,2014,267052.953411356,89619,122340,55093.9534113563
IL,2015,279694.43435628,99313,131424.7,48956.7343562796
IL,2016,269776.56323871,107295,111162.5,51319.0632387103
IL,2017,289038.659590049,127161,112188.5,49689.1595900487
IL,2018,302290.905162618,143971,108952.2,49367.7051626183
IL,2019,336736.368125594,164838,118311.7,53586.6681255938
IN,2003,176773.316627904,36374.4238570332,41613.7309505537,98785.1618203176
IN,2004,211785.922056292,44668.5534013996,55906.5527130894,111210.815941803
IN,2005,242641.77214598,51835.9902363253,63621.6398535449,127184.142056109
IN,2006,292349.086121492,70870.2836478698,74178.9558142163,147299.846659405
IN,2007,411622.275816448,105790.485855639,122598.985157935,183232.804802874
IN,2008,426108.921900381,125211.65191302,91602.6630338004,209294.60695356
IN,2009,517770.596339458,171217.89895369,117085.453930764,229467.243455004
IN,2010,637701.842377847,205580.172195006,166979.954987914,265141.715194926
IN,2011,661056.064423692,206353.824016438,161054.237625086,293648.002782169
IN,2012,746851.442060988,224987.493008345,185788.577762706,336075.371289937
IN,2013,783707.565931968,226548.835040044,179669.3585197,377489.372372225
IN,2014,854505.189959008,253120.03194006,215143.21274377801,386241.94527517
IN,2015,899757.208892491,282617.808681015,225245.281449258,391894.118762219
IN,2016,910455.718169018,318322.197197149,221079.590477592,371053.930494277
IN,2017,1040984.67402519,377246.67838079,267446.068721291,396291.926923109
IN,2018,1039750.66274808,386171.860213536,245893.694374319,407685.108160222
IN,2019,1128325.52770062,426941.838170129,266696.624713285,434687.064817201
KR,2003,317565.843871339,66069.7,165028.7,85568.7438713388
KR,2004,388196.331621712,87766.4,210313.2,89212.3316217123
KR,2005,512040.309473173,104879.1,310456.3,95385.7094731727
KR,2006,619175.887746346,115773.5,352392.9,148586.187746346
KR,2007,779415.617789802,121956.5,456653.6,195894.517789802
KR,2008,604200.202903254,94721.5,252152.1,182005.502903254
KR,2009,727231.625996385,121933.4,391579.7,181119.625996385
KR,2010,826441.229183042,135499.7,489149.1,174431.529183042
KR,2011,838598.062577128,135178.3,477017.7,197328.962577128
KR,2012,953439.13968819,157876.1,578102.3,186550.03968819
KR,2013,1002065.84364542,180859.7,615574.4,179212.143645424
KR,2014,991734.872324347,179441,591004.1,185456.472324347
KR,2015,939524.613269895,179544.4,550718.5,171440.613269895
KR,2016,964030.672078767,188877,573264.6,169091.872078767
KR,2017,1199928.95275534,229399.4,773912.5,174422.552755344
KR,2018,1110167.58214571,237237.8,666590.3,178521.682145713
KR,2019,1198782.52836825,238553.3,741314.2,189233.028368252
MA,2003,34933.8205185363,17106.149784569,840.089601024012,16987.5811329434
MA,2004,38924.160734468,19883.1059785585,1719.62958005281,17321.4251758567
MA,2005,38452.4721274796,20751.540640474,2037.45107790776,15663.4804090978
MA,2006,49106.3129583728,29938.722417993,2110.2925525625,17057.2979878172
MA,2007,61739.789390032,38613.2603847949,3277.07047658559,19849.4585286515
MA,2008,63459.8965354573,39388.3455582722,3209.9725865007,20861.5783906844
MA,2009,71557.4429377023,42581.0994771059,3663.89740588542,25312.446054711
MA,2010,76412.9108708401,45081.5852768371,3576.29025116969,27755.0353428333
MA,2011,78660.4444256146,44515.9376020147,3245.84946136268,30898.6573622373
MA,2012,82889.3858871956,45620.2881365981,3003.69953162981,34265.3982189678
MA,2013,97677.6462022233,51815.9644688734,7768.13976885137,38035.9143051851
MA,2014,99063.0051366659,51192.0265413326,10594.0984241084,37142.603146066
MA,2015,95549.7897538463,49670.5239196818,10373.3012306046,35455.2463302425
MA,2016,104516.852075529,54784.2223446109,10722.1176703645,38903.9451033434
MA,2017,116533.674026988,63204.8019722386,11801.4148668203,41493.1252301611
MA,2018,115510.453591559,64135.2987298103,10561.3297788929,40783.5182510126
MA,2019,121611.254961198,66676.0957761748,11759.2357086269,43162.5389957225
MX,2003,383280.546474386,157953.534,143580.335787262,81746.676687125
MX,2004,430230.342271395,178794.919,170783.161984707,80652.2612866884
