iso2c,year,ILFR_BP6_USD,ILD_BP6_USD,ILP_BP6_USD,ILOFR_BP6_USD
MX,2005,505970.241524731,212373.734,210817.795856634,82778.7116680977
MX,2006,592946.331771044,250373.138,258994.489181098,83578.7045899465
MX,2007,642542.718232806,275392.614,276750.457268518,90399.6469642875
MX,2008,617095.129617436,245651.544,274048.818714157,97394.7669032791
MX,2009,647834.101078049,314033.998,241883.097458505,91917.0056195439
MX,2010,804352.242248499,384933.732,310634.233793307,108784.276455192
MX,2011,796918.37767904,367795.858,316604.107609377,112518.412069663
MX,2012,1004032.81377436,461350.121,438712.083184831,103970.609589527
MX,2013,1095548.66278682,507875.956,480277.85440387,106113.043055013
MX,2014,1103587.38149786,502688.26,491571.629415797,109327.492082067
MX,2015,1055722.10202661,478452.679,469140.011782761,108129.411243847
MX,2016,1035169.48078562,484937.856,446495.538912105,103736.08587351
MX,2017,1142851.97025954,542194.608,498380.146640696,102277.215618845
MX,2018,1160616.95676641,567850.57,483566.750641365,109199.63612505
MX,2019,1252747.53976625,618325.726,521623.258607192,112798.555159056
MY,2003,118810.263157895,44914.2105263158,22821.5789473684,50866.3157894737
MY,2004,142695,46097.1052631579,50938.1578947368,45436.3157894737
MY,2005,139647.08994709,47407.4074074074,46054.2328042328,45868.5185185185
MY,2006,172249.582330454,62012.5159280759,65927.3396573694,43794.3650007079
MY,2007,242150.128534704,88441.9174353546,103207.742325722,49964.5546650537
MY,2008,202230.254158173,87620.9356349365,64349.1510004273,48125.2215387211
MY,2009,230758.401011473,91660.0059386305,84773.6686820996,51786.0032009082
MY,2010,303956.533954078,116883.066446674,128527.782810897,57047.4001687401
MY,2011,346050.692471196,133688.090312027,142199.954481649,68154.1719034467
MY,2012,406587.25344775,151100.93337717,182305.902210212,69609.6508274373
MY,2013,426987.008561319,153816.515098677,188870.484831001,81980.8109842206
MY,2014,420806.70063665,152868.20250079,176669.551367079,88436.5957406409
MY,2015,362131.817182975,134524.675851904,145723.3465749,79269.3804486813
MY,2016,370037.979690459,146145.273735198,141249.570565013,80157.2161912015
MY,2017,425751.036178902,171147.859318395,163627.531865697,89246.0342871393
MY,2018,430588.765914348,182146.145067769,145332.770631149,101130.089826879
MY,2019,445639.688925823,190476.199454028,148451.371054128,103566.086608924
NG,2005,64221.2765522523,26608.45,6946.37596899225,30666.45058326
NG,2006,55202.5442587252,31242.8100101349,9703.18998986513,14256.5442587252
NG,2007,66968.0450053106,37330.172843483,12368.899701614,17268.9724602136
NG,2008,76852.0264655277,45578.18,13702.99,17570.8564655277
NG,2009,88655.5320820746,54227.71,14368.88,20058.9420820746
NG,2010,80260.607720573,50607.3416741787,13901.0482191559,15752.2178272383
NG,2011,92792.4549669308,59301.3581121002,14211.46856003,19279.6282948006
NG,2012,106456.835546111,64940.9724305987,21863.9901429738,19651.8729725379
NG,2013,110319.917808965,72570.6970794277,21181.2927222074,16567.9280073301
NG,2014,119140.073212622,77830.7785529379,15332.7042235679,25976.5904361166
NG,2015,120669.950677666,81216.5156689203,9606.10450565853,29847.3305030873
NG,2016,125001.868884932,84965.0036853298,10519.0835909718,29517.7816086302
NG,2017,156610.396390082,88771.9279296448,27724.1338100349,40114.3346504023
NG,2018,169804.359426018,95163.2411674967,25286.8267253197,49353.6510172516
NG,2019,188182.814549719,98617.5684794404,34257.5902615189,55306.7437416299
PE,2003,46443.830764257,12875.7513068509,9569.77172522286,23998.3077321833
PE,2004,48624.5488921634,13310.4518457804,10963.1519655829,24350.9450808001
PE,2005,51380.9384407941,15889.1712108904,15316.1966647189,20175.5705651848
PE,2006,58562.0679364488,20484.4020280231,17851.1567527961,20226.5091556296
PE,2007,78923.6833055433,26807.7058083376,28780.824575226,23335.1529219797
PE,2008,78638.6854604797,32340.3403619036,19451.0128400923,26847.3322584838
PE,2009,90268.4026720161,34521.2317027623,28693.5077746217,27053.6631946321
PE,2010,115422.350050323,42975.8592906729,41069.5224130291,31376.9683466213
PE,2011,121065.188260281,50658.1203992514,35700.5465958989,34706.5212651299
PE,2012,148498.422283727,64280.6055035617,43468.8430079057,40748.9737722597
PE,2013,157625.428133035,74106.6080475696,46112.5444926997,37406.2755927663
PE,2014,167410.86121573,78036.5509577271,46343.9733005553,43030.3369574475
PE,2015,173264.552144452,86350.5177522449,41264.6872116395,45649.3471805681
PE,2016,187123.006569471,93089.569610425,49600.2020742853,44433.2348847612
PE,2017,201254.335230776,99950.0624299233,63745.2596692657,37559.0131315868
PE,2018,205526.288006255,106437.968710642,61490.3228548639,37597.9964407489
PE,2019,218067.059092499,115329.881157127,68410.7330729805,34326.4448623912
PH,2003,74706.6100086038,12204,21647,40855.6100086038
PH,2004,74727.2858201121,13434,21303,39990.2858201121
PH,2005,81033.494818912,15485,26877,38671.494818912
PH,2006,98224.5414045735,23748.7177273864,36318.3042028169,38157.5194743702
PH,2007,116603.840613437,26965.9270865303,46293.5031904181,43344.410336489
PH,2008,102563.299251468,27852.6011185782,30662.3119849847,43695.0320632463
PH,2009,109166.076583917,29800.492061181,37864.8173264651,41261.0999604098
PH,2010,131620.188744676,30716.026664547,52749.2171228327,47838.4371995202
PH,2011,139024.054845163,33684.039897391,55331.3366942657,49723.1865682367
PH,2012,169841.678952529,45054.7235853067,71635.8011329485,52783.5288509388
PH,2013,172074.66975632,47276.0957519107,73269.937778846,51252.2691817369
PH,2014,188885.264608862,56646.3448908178,81579.3166598417,49985.545896451
PH,2015,183324.129002916,58521.8915187814,72668.072077553,51857.5418816388
PH,2016,189252.490306917,64507.4628505665,74838.3319307931,49696.2012035944
PH,2017,214239.822721668,79016.3151659641,86268.7525198531,48746.9838727114
PH,2018,224687.898093923,83120.9196822312,87632.1608635279,53594.0992639767
PH,2019,233381.329302033,93655.7429698431,84009.6470012228,55407.7189952623
PK,2003,43820.6407518415,7195,542,36083.6407518415
PK,2004,45136.9215467331,7606,1162,36368.9215467331
PK,2005,47111.1506374525,10209,2173,34729.1506374525
PK,2006,55453.0041205567,13682,4064,37707.0041205567
PK,2007,73741.9500056889,25621,6767,41353.9500056889
PK,2008,87223.646480407,31059,6784,49380.646480407
PK,2009,79359.8924471806,17720.1,3548,58034.792447180604
PK,2010,85384.2162827874,19890.8,4487.9,60954.5162827874
PK,2011,86469.7492527094,20988,4216,61224.7492527094
PK,2012,87473.1353864485,23180.6418505564,5233.82975623769,59049.3683626014
PK,2013,88189.1731241483,25147.171117761,6718.92331619161,56314.5513894878
PK,2014,100447.478216411,33192.6101809146,10706.20171172,56532.6423362036
PK,2015,106008.652818266,34426.6513433714,10760.7716334167,60816.831249695
PK,2016,122334.210635346,42073.804436547,13178.3586930073,67077.3499868184
PK,2017,132488.031260446,40867.4676203315,13038.1323758053,78569.2112260884
PK,2018,134118.803794556,34203.8339499523,11290.1946007261,88609.6202492866
PK,2019,145772.859466024,34928.4860224523,10952.6842424254,99884.0919003921
PL,2003,155895,61245,34392,60258
PL,2004,213596,91300,56628,65251
PL,2005,225460,95689,71383,57864
PL,2006,291939,132703,84786,73832
PL,2007,408592,187426,104867,114709
PL,2008,389154,172259,77831,134583
PL,2009,445106.271277872,194493,102099,147130.271277872
PL,2010,523450.190446856,236223,131710,149433.190446856
PL,2011,498786.9687251,216670,126613,148324.9687251
PL,2012,580426.126685233,250796,171155,151394.126685233
PL,2013,617042.144034582,275360,175046,160555.144034582
PL,2014,569554.168536591,252401,163077,145542.168536591
PL,2015,515903.879108864,221905,153232,134174.879108864
PL,2016,520623.868567372,225312,144681,145696.868567373
PL,2017,623741.982041667,283472,183934,152845.982041667
PL,2018,588587.481878681,271365,167792,146060.481878681
PL,2019,589008.089136937,279353,155764,150081.089136937
RO,2003,32296.9353048331,12203.8751671418,4502.6036279234,15590.4565097679
RO,2004,46760.7431783212,20573.3813938733,4831.68451934229,21355.6772651057
RO,2005,58401.8439097804,25905.7854430787,5252.26848574554,27243.7899809562
RO,2006,91518.7221137644,45106.7144415018,6291.47842343044,40120.1397800675
RO,2007,134973.871012222,62486.5657059111,7247.19101123596,65240.1142950754
RO,2008,153017.978464216,66406.0405052572,6210.57088420013,80401.7199080092
RO,2009,172684.375639138,70708.0821497905,7083.54620074248,94892.7472886048
RO,2010,176535.286152784,68971.7584646591,7775.31596192854,99788.2117261966
RO,2011,181868.401481589,70032.9410355464,9728.98511664121,102106.175865442
RO,2012,189967.189316191,76586.4482501862,15977.6619508563,97403.0791151486
RO,2013,198329.528853306,87940.4626585973,23101.5944210623,87285.628512303
RO,2014,174406.590270263,81493.4360420961,25707.3885212108,67199.5272345679
RO,2015,156094.108369123,76147.9856305904,23580.7797092364,56362.4498595874
RO,2016,154361.988045884,80559.8029419283,24158.9013082983,49639.5657188326
RO,2017,183561.76301873,98122.8318129256,30708.2102017217,54635.1280450694
RO,2018,183966.081503559,102051.502356638,33095.5420267086,48781.9691704877
RO,2019,195998.4499409,110017.132932783,40070.8787082238,45899.1728098453
RU,2003,331913.308236808,95675.676815207,93359.4562178715,142847.075203729
RU,2004,416467.796070085,121513.652041079,130698.867418372,164066.676610634
RU,2005,547797.435610104,180170.976816525,166178.896772977,201395.462020602
RU,2006,769810.751555128,265652.72812986,265341.550601195,238638.772824074
RU,2007,1242053.63955453,490595.147567219,366660.304446849,383923.287540465
RU,2008,755887.734966644,214049.01903715,111805.790806082,419636.753407498
RU,2009,984794.982451289,377447.10693715,217125.254754349,385017.827462738
RU,2010,1152738.70493767,488992.866411764,277038.684591737,383866.863534165
RU,2011,1095447.04825771,454949.151419495,225062.1328714,409530.707766815
RU,2012,1238366.64435291,514925.602581277,270724.514771979,448431.654999655
RU,2013,1289112.72659488,565654.219761762,270724.514771979,448449.120061142
RU,2014,964950.31606916,371491.21,156424.3,415505.02606916
RU,2015,838767.950254711,347689.82,141646.9,340186.350254711
RU,2016,1021404.1943302,477670.01,215960.3,321318.8443302
RU,2017,1066440.35820529,529643.81,230154.86,302136.958205292
RU,2018,969191.985196901,497366.15,206909.35,259983.495196901
RU,2019,1154767.53369592,586994.28,302253.32,259787.393695919
TH,2003,121003.790350407,51176,29086,39973.7903504066
TH,2004,134786.465169153,55149,32109,46685.4651691536
TH,2005,147492.96234238,62832.2599957592,39331.9556908498,44727.64674083
TH,2006,178317.383414323,80241.7678098068,45498.3130131542,52010.242568529
TH,2007,218429.205758871,96261.2893208318,63459.855547927,57501.2016750543
TH,2008,191917.130267356,96643.3447505136,33078.1971533941,58094.9018970056
TH,2009,222600.08330567,110069.749184416,53442.416012149,55897.2535563021
TH,2010,304994.311530629,142498.176977444,84591.2322221596,74846.9204496473
TH,2011,325008.698232913,159342.747620791,87450.4792750038,68401.767624415
TH,2012,398030.444541324,180127.937941139,132237.234802096,81322.7882845715
TH,2013,390252.161425373,187343.739464098,114382.89729408,85321.5126834774
TH,2014,426719.684493147,201909.006128083,133765.485268331,87843.3516441953
TH,2015,381775.378938254,188905.584573791,102859.27096908,86969.6109837526
TH,2016,415492.847868673,199623.330802103,126503.509266271,86860.6332202187
TH,2017,498561.771954905,231871.063431485,166363.087946837,97498.7055221885
TH,2018,495357.849225546,239625.241957157,153156.772491458,99768.278181821
TH,2019,543521.125829021,272863.787376014,163763.324910906,102340.868022436
TR,2003,179544.561624377,33239,30024,116281.561624377
TR,2004,214243.981234447,38629,45751,129863.981234447
TR,2005,281886.549632017,71426,72606,137854.549632017
TR,2006,349683.115936845,95526,84410,169747.115936845
TR,2007,483938.643376731,155711,120629,207598.643376731
TR,2008,385767.96354579,81363,68726,235678.96354579
TR,2009,457823.714986609,145792,91018,221013.714986609
TR,2010,546893.417809758,189810,118195,238888.417809758
TR,2011,495539.804873757,138584,109539,247416.804873757
TR,2012,640364.339926182,192522,179452,268390.339926182
TR,2013,625331.846891743,152691,167762,304878.846891743
TR,2014,676657.147895466,184015,191114,301528.147895466
TR,2015,595016.574364539,159267,143795,291954.574364539
TR,2016,583407.222579665,150367,139653,293387.222579665
TR,2017,695467.71734211,198170,173658,323639.71734211
TR,2018,600135.996354735,147040,140717,312378.996354735
TR,2019,599971.462156904,163630,133723,302618.462156904
UA,2003,31426.8821536464,7566,4065,19795.8821536464
UA,2004,40283.3080048205,9606,6386,24291.3080048205
UA,2005,56869.5077451905,17209,9011,30649.5077451905
UA,2006,76942.2443013257,23125,12861,40956.2443013257
UA,2007,117319.252364051,38361,18618,60340.2523640513
UA,2008,146795.040515251,47081,17059,82655.040515251
UA,2009,146128.635700076,45390,15593,85145.6357000757
UA,2010,167098.909715463,52872,20085,94141.9097154632
UA,2011,180538.552579016,59035,21806,99697.5525790163
UA,2012,193386.963216896,65276,26765,101345.963216896
UA,2013,203270.976464193,67204,35956,100110.976464193
UA,2014,170920.477292879,50218,32021,88681.4772928788
UA,2015,158100.728231905,44124,28758,85218.7282319048
UA,2016,154502.405459869,45668,28778,80056.405459869
UA,2017,156904.43219056,45862,30569,80473.4321905605
UA,2018,155226.231847736,44805,32674,77747.2318477362
UA,2019,168580.388450917,52189,38575,77816.3884509173
ZA,2003,126712.388155006,57060.6927710843,46257.078313253,19721.4242995839
ZA,2004,168841.687816437,80278.1527531084,62852.9307282416,22032.2739620853
ZA,2005,207406.020170836,96693.2806324111,82837.3122529644,25834.4786688599
ZA,2006,245991.194359804,106928.981348637,102750.071736011,33308.8414186279
ZA,2007,318788.752119377,131831.130690162,133213.215859031,39858.9430151189
ZA,2008,232906.420789696,83648.7909725954,85668.242880172,37675.2547499321
ZA,2009,324857.108481661,138750.81300813,126519.241192412,39082.0407309832
ZA,2010,424512.825909338,179564.810905362,179783.310211714,41671.5809609096
ZA,2011,380836.728448803,159390.143560648,162989.352687617,40644.1680587704
ZA,2012,431438.863682881,163510.113337607,203401.069267099,48682.1778227329
ZA,2013,408963.640035948,152124.196246848,199130.111488725,47725.9674286183
ZA,2014,426132.714223908,138905.012110405,222365.95443379,54912.6502395197
ZA,2015,356651.20310079,126755.484078482,166047.153425539,51208.1024253316
ZA,2016,401183.334649958,135453.525717146,204650.607075915,53417.7320864645
ZA,2017,523576.112422765,156353.2796,292167.5064,63952.363222765
ZA,2018,445809.084599308,138561.5593744,233189.260970401,67748.9393141063
ZA,2019,466660.01223644,145246.5235585,248669.061823,64939.5226569403
